0.5460 	WARNING 	Movie2 stim could not be imported and won't be available
237.0171 	EXP 	New trial (rep=0, index=8): {'RetDur': 5, 'BotBrack': 3, 'StimDur': 2, 'UpBrack': 123456, 'ProbeDurITI': 6, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4, 'StimSet': 'LNJFYG', 'RetStart': 2, 'ProbeLet': 'wmbhkd', 'TrialITIDur': 13, 'Correct': 'right'}
237.0464 	EXP 	window1: recordFrameIntervals = False
237.0661 	EXP 	TopUpperLine: autoDraw = False
237.0661 	EXP 	BotUpperLine: autoDraw = False
237.0661 	EXP 	TopLowerLine: autoDraw = False
237.0661 	EXP 	BotLowerLine: autoDraw = False
237.0661 	EXP 	RestCrossHair: autoDraw = False
237.0661 	EXP 	TopUpperLine: autoDraw = False
237.0661 	EXP 	UpperText: autoDraw = False
237.0661 	EXP 	UpperBrackets: autoDraw = False
237.0661 	EXP 	BotUpperLine: autoDraw = False
237.0661 	EXP 	TopLowerLine: autoDraw = False
237.0661 	EXP 	LowerText: autoDraw = False
237.0661 	EXP 	LowerBrackets: autoDraw = False
237.0661 	EXP 	BotLowerLine: autoDraw = False
237.0661 	EXP 	TrialCrossHair: autoDraw = False
237.0661 	EXP 	RestCrossHair: autoDraw = False
237.0661 	EXP 	UpperText: text = ' L N J F Y G '
237.0661 	EXP 	UpperBrackets: text = '{           }'
237.0661 	EXP 	LowerText: text = ' w m b h k d '
237.0661 	EXP 	LowerBrackets: text = '    { }      '
237.0661 	EXP 	TopUpperLine: autoDraw = True
237.0661 	EXP 	UpperText: autoDraw = True
237.0661 	EXP 	UpperBrackets: autoDraw = True
237.0661 	EXP 	BotUpperLine: autoDraw = True
237.0661 	EXP 	TopLowerLine: autoDraw = True
237.0661 	EXP 	BotLowerLine: autoDraw = True
237.0661 	EXP 	TrialCrossHair: autoDraw = True
237.0663 	EXP 	window1: recordFrameIntervals = False
239.0334 	EXP 	UpperText: autoDraw = False
239.0334 	EXP 	UpperBrackets: autoDraw = False
244.0352 	EXP 	LowerText: autoDraw = True
244.0352 	EXP 	LowerBrackets: autoDraw = True
245.7705 	DATA 	Keypress: right
246.0359 	EXP 	LowerText: autoDraw = False
246.0359 	EXP 	LowerBrackets: autoDraw = False
246.0359 	EXP 	TrialCrossHair: autoDraw = False
246.0359 	EXP 	RestCrossHair: autoDraw = True
